neighborhood_group	energy_label	avg_energy_consumption_m2	avg_building_year	avg_square_meters	avg_home_occupancy	avg_home_size_rooms	average_property_value	avg_length_residence_years	avg_disp_income_ink	stand_avg_energy_consumption_m2	stand_avg_building_year	stand_avg_square_meters	stand_avg_home_occupancy	stand_avg_home_size_rooms	stand_average_property_value	stand_avg_length_residence_years	stand_avg_disp_income_ink	predicted	theoretical
A00	C	620.525	1880.0	940.5	1.5	2.4	274.0	5.9	27.6	-0.8516033072091038	-2.6577589705143736	0.33415206045076884	-1.6327113845857306	-1.7827389557303444	0.9573455898188284	-1.4557798045807742	-0.501074518889815	1366.4331921320572	1319
A01	C	725.8020000000001	1993.0	55.2	1.51	2.4	282.0	4.9	28.1	-0.5733957245056593	1.2059557762218414	-0.22546761838611684	-1.5989337489221698	-1.7827389557303444	1.0973058832681728	-1.9609613324291015	-0.4027988055273073	647.0739671446154	1319
A04	C	713.0365605095542	1949.8590604026847	63.16666666666666	1.58	2.7	304.0	8.5	32.5	-0.6071299880464525	-0.2691263875852767	-0.22043169447173694	-1.362490299277246	-1.0330514849851626	1.4821966902538704	-0.14230783217512288	0.46202747206276096	910.5461174912398	1319
A05	C	655.7533333333333	1975.583333333333	60.0	1.67	2.7	312.0	8.2	33.8	-0.7585080493717999	0.6104422201245903	-0.22243342155067453	-1.0584915783052011	-1.0330514849851626	1.6221569837032148	-0.2938622905296215	0.7175443268052807	758.7337120054763	1319
A06	C	679.8829629629631	1961.44	64.61538461538461	1.5	2.5	286.0	9.4	30.2	-0.6947424981992865	0.12685102040772872	-0.2195159245935185	-1.6327113845857306	-1.5328431321486171	1.1672860299928451	0.3123555428883721	0.009959190595225029	824.9942298771184	1319
A08	C	764.3140000000002	1994.25	86.6	1.81	2.7	319.0	7.8	33.0	-0.4716229685848501	1.248695983597242	-0.2056189140875986	-0.5856046790153525	-1.0330514849851626	1.7446222404713914	-0.4959349016689522	0.5603031854252688	661.8680886627008	1319
A09	C	656.901036585366	1984.0243902439026	70.64024390243901	1.74	2.7	260.0	9.4	31.1	-0.7554751006041786	0.8990602383848176	-0.21570746438877567	-0.8220481286602768	-1.0330514849851626	0.7124150762824754	0.3123555428883721	0.18685547464773947	722.335576405836	1319
E13	C	669.0254666666665	1942.44	58.8	1.79	2.8	210.0	8.5	26.4	-0.7234347842523112	-0.5228001316983605	-0.22319197075953512	-0.6531599503424738	-0.7831556614034366	-0.16233675777592785	-0.14230783217512288	-0.7369362309598343	1011.9143294832556	1319
E14	C	630.6978431372551	1965.016339869281	70.26143790849672	1.67	2.6	222.0	8.0	27.9	-0.8247203023890857	0.2491338265341117	-0.2159469168779562	-1.0584915783052011	-1.28294730856689	0.04760368239808893	-0.3948985960992866	-0.4421090908723111	847.5645661854887	1319
E15	C	569.3774999999998	1994.5608108108108	82.12837837837837	2.12	3.1	267.0	9.6	33.0	-0.986766945385766	1.259323278404099	-0.20844553495710266	0.4615020265550257	-0.03346819065825496	0.8348803330506519	0.4133918484580372	0.5603031854252688	710.8861751176901	1319
